Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
QJB18586.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6538_277,315,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18587.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6538_237,290,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18588.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6538_237,380,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18589.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_331,250,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18590.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_331,326,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18591.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_314,311,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18592.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_314,322,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18593.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_297,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18594.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_297,328,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18595.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_286,306,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18596.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_286,325,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18597.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_279,312,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18598.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_279,323,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18599.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_278,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18600.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_278,325,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18601.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_257,291,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18602.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_257,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18603.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_209,290,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18604.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_209,380,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18605.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_7,262,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18606.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6537_7,336,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2006,2021-04-17,ssDNA
QJB18607.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_110,301,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18608.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_110,325,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18609.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_100,311,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18610.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_100,337,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18611.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_94,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18612.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_94,330,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18613.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_88,285,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18614.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_88,315,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18615.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_76,290,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18616.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6435_76,380,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18617.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_474,275,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18618.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_474,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18619.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_448,297,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18620.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_448,338,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18621.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_439,302,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18622.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_439,333,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18623.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_429,306,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18624.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_429,330,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18625.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_426,304,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18626.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_426,333,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18627.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_417,313,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18628.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_417,325,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18629.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_416,307,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18630.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_416,334,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18631.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_413,289,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18632.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_413,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18633.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_400,340,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18634.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_400,306,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18635.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_398,312,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18636.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_398,323,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18637.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_397,304,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18638.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_397,329,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18639.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_391,320,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18640.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_391,326,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18641.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_385,292,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18642.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_385,321,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18643.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_381,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18644.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_381,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18645.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_379,314,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18646.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_379,342,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18647.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_372,282,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18648.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_372,340,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18649.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_370,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18650.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_370,326,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18651.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_362,295,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18652.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_362,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18653.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_358,301,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18654.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_358,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18655.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_352,295,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18656.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_352,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18657.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_350,300,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18658.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_350,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18659.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_341,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18660.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_341,317,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18661.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_303,311,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18662.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_303,334,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18663.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_302,293,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18664.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_302,376,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18665.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_301,291,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18666.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_301,367,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18667.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_68,302,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18668.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6434_68,322,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18669.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_305,295,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18670.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_305,326,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18671.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_304,310,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18672.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_304,327,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18673.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_294,322,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18674.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_294,314,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18675.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_290,316,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18676.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_290,328,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18677.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_287,308,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18678.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_287,341,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18679.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_282,296,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18680.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_282,325,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18681.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_275,342,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18682.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_275,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18683.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_262,295,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18684.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_262,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18685.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_261,292,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18686.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_261,318,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18687.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_227,290,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18688.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_227,380,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18689.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_224,291,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18690.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_224,349,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18691.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_70,225,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18692.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_70,330,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18693.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_57,295,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18694.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6433_57,319,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18695.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_362,265,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18696.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_362,308,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18697.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_333,314,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18698.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_333,330,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
QJB18699.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,6424_322,309,USA,USA,unidentified,,"Schreck,J., Kraberger,S., Scotch,M., Halden,R.U., Varsani,A.",2001,2021-04-17,ssDNA
